Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,force.x,force.y,force.z,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,aux.current_yaw,aux.kf_correction,aux.angle_corrections,aux.enable_motors,aux.use_external_yaw,kR_0,kR_1,kR_2,kOm_0,kOm_1,kOm_2
1642435551.747557,8900,1642435550,749671689,mocap,-0.11777906119823456,0.09792888164520264,2.389150857925415,-0.019427074119448662,-0.025436511263251305,-0.04135851562023163,0.9986315965652466,-0.007863268256187439,-0.005430960562080145,-0.0001997088111238554,-0.10308795422315598,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.7475798,8901,1642435550,751884813,mocap,-0.10860363394021988,0.11091756075620651,2.380064010620117,-0.022300776094198227,-0.02372310310602188,-0.04140089452266693,0.9986119866371155,-0.02419486828148365,0.003927750512957573,0.00016758058336563408,-0.10411106795072556,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.7476091,8902,1642435550,763905542,mocap,-0.10845241695642471,0.11042796075344086,2.382157564163208,-0.0221803430467844,-0.023666536435484886,-0.0413968525826931,0.9986161589622498,-0.02278110943734646,0.004096629098057747,0.00017381644283887,-0.10446737706661224,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.7476373,8903,1642435550,775680803,mocap,-0.1100330725312233,0.10829176008701324,2.3838977813720703,-0.02170385979115963,-0.023961560800671577,-0.041390709578990936,0.9986198544502258,-0.019390836358070374,0.002383642829954624,9.880413563223556e-05,-0.1044953316450119,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.7476532,8904,1642435550,784394761,mocap,-0.12028420716524124,0.0951918214559555,2.393507480621338,-0.018799955025315285,-0.025888510048389435,-0.041349172592163086,0.9986323714256287,-0.002129622269421816,-0.00808701477944851,-0.00028692884370684624,-0.1028188094496727,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.747671,8905,1642435550,792280647,mocap,-0.11967381834983826,0.09627307951450348,2.392580509185791,-0.019037708640098572,-0.02578057534992695,-0.04135379567742348,0.9986304640769958,-0.0033982775639742613,-0.007293967064470053,-0.00026232682284899056,-0.10210387408733368,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.7476857,8906,1642435550,803019032,mocap,-0.11724679917097092,0.10025118291378021,2.3898415565490723,-0.019910059869289398,-0.02533782832324505,-0.041369494050741196,0.9986241459846497,-0.008252064697444439,-0.004733063280582428,-0.00017866042617242783,-0.10177382826805115,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.747702,8907,1642435550,815983042,mocap,-0.11031736433506012,0.11485057324171066,2.382335901260376,-0.023085543885827065,-0.02409212291240692,-0.04142758995294571,0.9985842108726501,-0.026102600619196892,0.0018517066491767764,8.186027116607875e-05,-0.10141462832689285,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.7477255,8908,1642435550,823564761,mocap,-0.11148744076490402,0.11275318264961243,2.381704092025757,-0.022642774507403374,-0.02432549186050892,-0.04142112284898758,0.9985889196395874,-0.02281164936721325,0.0005973671213723719,2.5867253498290665e-05,-0.10120148956775665,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.7477438,8909,1642435550,832883147,mocap,-0.11281812191009521,0.1090427115559578,2.3849854469299316,-0.02182541973888874,-0.024538684636354446,-0.04140455275774002,0.9986026287078857,-0.017518071457743645,-0.0005127236945554614,-2.135374234057963e-05,-0.10142063349485397,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.7477663,8910,1642435550,844011272,mocap,-0.11492969840765,0.10437612980604172,2.387871742248535,-0.020807309076189995,-0.02491019479930401,-0.041385356336832047,0.9986159205436707,-0.0112069146707654,-0.002424389123916626,-9.595386654837057e-05,-0.1010456383228302,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.7530043,8911,1642435550,854247313,mocap,-0.12017406523227692,0.09316525608301163,2.394141912460327,-0.018374525010585785,-0.025841698050498962,-0.04133717343211174,0.9986420273780823,0.002962711500003934,-0.007171751465648413,-0.0002483745338395238,-0.10078968107700348,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435551.7530253,8912,1642435550,863933303,mocap,-0.11051866412162781,0.10651405900716782,2.3837993144989014,-0.021329153329133987,-0.024049002677202225,-0.04138302803039551,0.9986261129379272,-0.014002187177538872,0.00267730257473886,0.00010894842125708237,-0.101917564868927,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
