Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
1642435551.7507653,9930,1642435550,748615980,mocap,DragonFly17/base_link,-1.4112269743724561,-0.421643470238531,1.0442352360846083,0.0026835223562516925,0.0057845407987706906,-0.05204502691482086,0.9986243803197276,"(7.583805069543924e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.583805069543924e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.583805069543924e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.583805424649528e-07, 6.022122820691434e-14, -6.3504273190210944e-15, 0.0, 0.0, 0.0, 6.022122820690527e-14, 7.583806258124123e-07, 2.7116979822628024e-15, 0.0, 0.0, 0.0, -6.350427319027109e-15, 2.711697982299019e-15, 7.583806536929317e-07)",-0.008688361280525766,-0.03153295914592543,0.009143474327671867,-0.23293317871260585,0.1412951425004142,-0.04556449135804074,"(0.017778268493024912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017778268493024912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017778268493024912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017778270312548375, 2.9281392266262552e-09, -8.261664623803042e-10, 0.0, 0.0, 0.0, 2.9281392266264765e-09, 0.017778274739392867, 3.482044649540667e-10, 0.0, 0.0, 0.0, -8.261664623793505e-10, 3.4820446495303644e-10, 0.0177782758633556)"
1642435551.7508144,9931,1642435550,759860992,mocap,DragonFly17/base_link,-1.4113220633550154,-0.4219592942986215,1.0443121868990615,0.0014378634166153288,0.006469886188393023,-0.05221596173033229,0.9986138224869984,"(8.072843838006626e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.072843838006626e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.072843838006626e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.072844789986241e-07, 1.436335767744478e-13, -4.436650898504813e-14, 0.0, 0.0, 0.0, 1.4363357677444868e-13, 8.072846378365909e-07, 2.6025173359854523e-14, 0.0, 0.0, 0.0, -4.4366508985036793e-14, 2.6025173359793144e-14, 8.072847123213392e-07)",-0.008660997347077143,-0.02973929922803119,0.007777096030570429,-0.22461997340560055,0.13815217492305593,-0.03534187236222791,"(0.016458590135479616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016458590135479616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016458590135479616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016458593592272433, 5.243278300924976e-09, -1.7174722299742392e-09, 0.0, 0.0, 0.0, 5.243278300924704e-09, 0.0164585994081587, 1.003245460971018e-09, 0.0, 0.0, 0.0, -1.717472229972862e-09, 1.0032454609716819e-09, 0.01645860217070099)"
1642435551.7508557,9932,1642435550,769568682,mocap,DragonFly17/base_link,-1.411359914560238,-0.42217869133409786,1.0443695459759776,0.0009710634360271949,0.006719165331736424,-0.05222687107980511,0.9986121688574976,"(7.811193422447419e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.811193422447419e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.811193422447419e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.81119406048997e-07, 9.835983998633494e-14, -2.5167658247303237e-14, 0.0, 0.0, 0.0, 9.835983998632613e-14, 7.811195096096235e-07, 1.5052012373737054e-14, 0.0, 0.0, 0.0, -2.5167658247268565e-14, 1.5052012373796458e-14, 7.811195649211994e-07)",-0.0058935306536844175,-0.02546400948689067,0.006658178538157975,-0.1484406191622023,0.09068288199063579,-0.01590830763986775,"(0.016933815660991877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016933815660991877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016933815660991877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01693382062720506, 7.514834070794181e-09, -2.150622434690035e-09, 0.0, 0.0, 0.0, 7.514834070793819e-09, 0.016933828367232506, 1.309245098784365e-09, 0.0, 0.0, 0.0, -2.1506224346890814e-09, 1.3092450987816406e-09, 0.016933832576374572)"
1642435551.7508886,9933,1642435550,779582739,mocap,DragonFly17/base_link,-1.4111385416606728,-0.4220659203113987,1.0443396768790119,0.0038910967629979935,0.005090275886327265,-0.05140483314548689,0.9986573444313521,"(7.843023292857103e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.843023292857103e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.843023292857103e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.843023589114858e-07, 4.642863493952136e-14, -1.013956128231942e-14, 0.0, 0.0, 0.0, 4.642863493951942e-14, 7.843024078381725e-07, 6.0763506463785606e-15, 0.0, 0.0, 0.0, -1.0139561282300146e-14, 6.076350646417054e-15, 7.843024343539487e-07)",0.010674580071955424,-0.003751361635196633,0.0009582798474813085,0.27464112132193774,-0.17330070968254546,0.08831995676886717,"(0.016969151108751794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016969151108751794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016969151108751794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016969154798599218, 5.693763248878309e-09, -1.3458059934907357e-09, 0.0, 0.0, 0.0, 5.693763248878123e-09, 0.016969160607307562, 8.241024883684506e-10, 0.0, 0.0, 0.0, -1.3458059934918996e-09, 8.241024883665733e-10, 0.01696916389296364)"
1642435551.750938,9934,1642435550,789261580,mocap,DragonFly17/base_link,-1.411056134335407,-0.42212901527303776,1.044358278836143,0.004980283884310862,0.004492760822024321,-0.051051079855237554,0.9986735197842465,"(7.79482108893196e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.79482108893196e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.79482108893196e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.79482283367066e-07, 2.28200350624636e-13, -1.0554097903637611e-13, 0.0, 0.0, 0.0, 2.2820035062467164e-13, 7.794825038019998e-07, 6.63080079373651e-14, 0.0, 0.0, 0.0, -1.0554097903633087e-13, 6.630800793740559e-14, 7.794826157725595e-07)",0.009405359434398415,-0.005344258784535027,0.0015135845206152346,0.24182111616264515,-0.15093173372610005,0.07845801075088578,"(0.01713839098037514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01713839098037514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01713839098037514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017138395882555654, 6.4009044455317174e-09, -2.8377584083796848e-09, 0.0, 0.0, 0.0, 6.4009044455309515e-09, 0.017138402084295293, 1.7879487230084405e-09, 0.0, 0.0, 0.0, -2.8377584083800016e-09, 1.7879487230091043e-09, 0.017138405206648423)"
1642435551.7509959,9935,1642435550,799703360,mocap,DragonFly17/base_link,-1.4110297292831961,-0.4222900086425402,1.044401380753744,0.005034680892250327,0.004357111348079604,-0.050885944914872375,0.9986822758911604,"(7.932833149399349e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.932833149399349e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.932833149399349e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.932834010937748e-07, 1.1206873065601165e-13, -5.337178045640873e-14, 0.0, 0.0, 0.0, 1.1206873065603845e-13, 7.932835118857539e-07, 3.319552011558279e-14, 0.0, 0.0, 0.0, -5.337178045638649e-14, 3.319552011560942e-14, 7.93283564968766e-07)",0.00524942949318564,-0.011514290710233764,0.003115287543737248,0.10090248844262331,-0.07576904091276973,0.05011336484062981,"(0.016741899181391167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016741899181391167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016741899181391167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016741906652978283, 9.41242158554105e-09, -4.825009724524317e-09, 0.0, 0.0, 0.0, 9.412421585540061e-09, 0.01674191576622872, 3.02627831607942e-09, 0.0, 0.0, 0.0, -4.825009724523787e-09, 3.0262783160783896e-09, 0.01674192009653786)"
1642435551.7510452,9936,1642435550,809780836,mocap,DragonFly17/base_link,-1.4111689372524483,-0.4227998322479429,1.0445074805046937,0.0019447937216771466,0.005621579272238271,-0.05069414758344991,0.9986965099692031,"(7.867999428830841e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.867999428830841e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.867999428830841e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.867999764844332e-07, 3.548016304010271e-14, -1.9987636496072487e-14, 0.0, 0.0, 0.0, 3.5480163040107544e-14, 7.868000034740151e-07, 1.433304148761215e-14, 0.0, 0.0, 0.0, -1.9987636496072525e-14, 1.4333041487640322e-14, 7.868000193491626e-07)",-0.0059808538839710625,-0.03449639914939575,0.007473630547289268,-0.3116369690574363,0.13457060240415852,0.045228539625255346,"(0.016835047775655587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016835047775655587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016835047775655587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016835052565755723, 5.597605878866013e-09, -3.083068412943339e-09, 0.0, 0.0, 0.0, 5.597605878865768e-09, 0.016835057515627916, 2.025912586612929e-09, 0.0, 0.0, 0.0, -3.0830684129432322e-09, 2.0259125866127457e-09, 0.01683506003691493)"
1642435551.7511032,9937,1642435550,819345236,mocap,DragonFly17/base_link,-1.4111924093638653,-0.42305919461789554,1.0445839480026737,0.0009539082172004492,0.0059286892625626105,-0.05058213554102708,0.998701851538718,"(7.767097910261799e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.767097910261799e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.767097910261799e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.767098998072473e-07, 2.09172976695865e-13, 2.8593136742671305e-14, 0.0, 0.0, 0.0, 2.0917297669586834e-13, 7.767102482898422e-07, -1.0138534070266719e-14, 0.0, 0.0, 0.0, 2.8593136742686716e-14, -1.0138534070225471e-14, 7.7671033767161e-07)",-0.003945525413062095,-0.03016660182217904,0.007747409721152598,-0.24883922478358012,0.09984433436084225,0.03338665617614448,"(0.01718491691724094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01718491691724094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01718491691724094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01718492030487199, 5.491590797603089e-09, 8.837692761655723e-10, 0.0, 0.0, 0.0, 5.491590797603331e-09, 0.017184929476381332, -1.1418783055644569e-10, 0.0, 0.0, 0.0, 8.83769276166526e-10, -1.1418783055917e-10, 0.017184931451806433)"
1642435551.7511377,9938,1642435550,829403639,mocap,DragonFly17/base_link,-1.4111941825584011,-0.42324633372241655,1.0446274666958664,0.0005820271228648638,0.005958272619846735,-0.050689346978944776,0.9986965256446411,"(7.863188200795439e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.863188200795439e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.863188200795439e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.863188595865071e-07, 7.591899643751253e-14, 1.0826964983392301e-14, 0.0, 0.0, 0.0, 7.591899643751025e-14, 7.863190016717449e-07, -2.1339217067089625e-15, 0.0, 0.0, 0.0, 1.0826964983378108e-14, -2.1339217066995324e-15, 7.863190302722245e-07)",-0.001704546726384733,-0.023340098606581546,0.0057244812056561276,-0.14487854405854733,0.04619516083847577,0.001072442390599837,"(0.016981831616269854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016981831616269854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016981831616269854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016981835008030605, 7.0514553589842065e-09, 2.3752680799263358e-09, 0.0, 0.0, 0.0, 7.051455358984358e-09, 0.0169818489979066, -9.396088290646628e-10, 0.0, 0.0, 0.0, 2.375268079926866e-09, -9.39608829063999e-10, 0.01698185152940424)"
1642435551.7512026,9939,1642435550,839454889,mocap,DragonFly17/base_link,-1.4111531466871183,-0.42334227285454107,1.0446551496602103,0.0011420659391771434,0.005535039945949989,-0.050505324121253074,0.9987078007373364,"(7.867357318994399e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.867357318994399e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.867357318994399e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.867357461361908e-07, 3.091193328865531e-14, 3.169881649755177e-15, 0.0, 0.0, 0.0, 3.0911933288658017e-14, 7.867358175625207e-07, -1.0631884833687328e-15, 0.0, 0.0, 0.0, 3.1698816497669325e-15, -1.0631884833781392e-15, 7.867358277890332e-07)",0.0017218035665530242,-0.015176743911271903,0.003966933372923868,0.004384725735867012,-0.034284735887734,0.02177330297444724,"(0.016909808354459974, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016909808354459974, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016909808354459974, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016909810108784513, 4.18161250833963e-09, 1.0971964600260548e-09, 0.0, 0.0, 0.0, 4.181612508339555e-09, 0.016909819449612146, -4.3556556107721627e-10, 0.0, 0.0, 0.0, 1.0971964600259497e-09, -4.355655610773995e-10, 0.016909820921558405)"
