Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rpm_0,rpm_1,rpm_2,rpm_3,aux.current_yaw,aux.kf_correction,aux.angle_corrections,aux.enable_motors,aux.use_external_yaw
1642435551.7502656,10910,1642435551,156282000,,9232.0,8328.0,8696.0,9372.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7502816,10911,1642435551,166207990,,9260.0,8336.0,8736.0,9428.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7503216,10912,1642435551,176191948,,9240.0,8392.0,8736.0,9348.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7503636,10913,1642435551,186196428,,9240.0,8388.0,8692.0,9380.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7503943,10914,1642435551,196199344,,9244.0,8384.0,8704.0,9352.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.750456,10915,1642435551,206253875,,9248.0,8392.0,8724.0,9340.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7504776,10916,1642435551,216393719,,9244.0,8388.0,8716.0,9348.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7504964,10917,1642435551,226670439,,9248.0,8380.0,8724.0,9344.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7505229,10918,1642435551,236591533,,9228.0,8400.0,8708.0,9392.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7505462,10919,1642435551,246187417,,9232.0,8376.0,8692.0,9380.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7505636,10920,1642435551,256198042,,9212.0,8392.0,8704.0,9412.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7505896,10921,1642435551,266355750,,9244.0,8412.0,8688.0,9356.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7506037,10922,1642435551,276230230,,9252.0,8356.0,8728.0,9396.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7506223,10923,1642435551,286200125,,9212.0,8412.0,8712.0,9320.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7506425,10924,1642435551,296181115,,9260.0,8396.0,8676.0,9384.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7506835,10925,1642435551,306172000,,9252.0,8408.0,8652.0,9380.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7507136,10926,1642435551,316223146,,9260.0,8428.0,8692.0,9332.0,0.0,0.0,"(0.0, 0.0)",False,False
